Date,AAPL,ADBE,AMZN,BAC,CMCSA,COST,CSCO,DIS,FB,GOOG,HD,INTC,JNJ,JPM,KO,MA,MRK,MSFT,NFLX,ORCL,PEP,PFE,PG,T,UNH,V,VZ,WMT,XOM
25/03/2010,28.105921,35.869999,134.729996,15.850342,7.658223,46.657543,20.459843,30.564434,NaN,280.389038,25.764442,16.455772,47.832748,34.906742,18.840538,20.933794,26.723719,23.66667,10.505714,22.888618,49.18924,12.023034,46.49831,15.135267,28.24752,18.712027,17.692604,43.44133,47.617554
26/03/2010,28.632942,35.509998,135.059998,15.993291,7.616689,46.719696,20.490807,30.756054,NaN,280.294403,25.867119,16.374779,47.691986,34.96888,18.788971,20.946556,26.476137,23.390646,10.614285,22.580971,49.218803,11.850187,46.549473,15.187349,27.829607,18.678911,17.727625,43.363213,47.789913
29/03/2010,28.817705,35.740002,135.119995,16.11838,7.683139,46.727451,20.521774,30.625399,NaN,280.174835,25.748642,16.44104,48.017937,34.844604,18.830225,21.09712,26.80151,23.33544,10.557143,22.475491,49.18924,11.946979,46.578724,15.343629,28.008709,18.676846,17.774324,43.542877,48.335758
30/03/2010,29.246777,35.68,136.580002,15.86821,7.782812,46.750771,20.630152,30.573137,NaN,282.296875,25.819729,16.448406,48.07719,34.627121,18.864607,21.471407,26.638824,23.477396,10.722857,22.449123,49.351841,11.933152,46.527554,15.019508,28.196348,18.834141,18.22963,43.675678,48.156216
31/03/2010,29.141371,35.369999,135.770004,15.948624,7.820189,46.393356,20.150202,30.407646,NaN,282.501129,25.551176,16.411594,48.299435,34.759159,18.909306,21.606672,26.419546,23.09885,10.534286,22.598555,48.900978,11.8571,46.242508,14.955846,27.863712,18.840345,18.107046,43.433529,48.105938
01/04/2010,29.261658,35.740002,131.809998,16.11838,7.832648,46.727451,19.995384,30.965105,NaN,283.337982,25.574881,16.48522,48.721684,35.13242,19.012444,21.601561,26.674206,22.996336,10.714286,22.378805,49.285332,11.808705,46.308292,15.112115,28.162497,19.15494,18.258812,43.347591,48.558418
05/04/2010,29.574146,35.990002,131.490005,16.198797,7.855604,47.255814,20.258577,30.677666,NaN,284.438843,25.79604,16.632471,48.447582,35.256832,18.861176,21.741074,26.447847,23.083084,11.427143,22.484285,48.767944,11.684261,46.600639,15.22787,28.29055,19.138382,18.363886,43.347591,48.974987
06/04/2010,29.704361,35.700001,135.559998,16.520447,7.830563,47.970631,20.297285,30.895422,NaN,283.049072,25.709152,16.492582,48.380928,35.645626,18.665201,22.010721,26.348816,23.12252,11.91,22.704023,49.070984,11.72574,46.125561,15.22787,28.521038,19.123886,18.212112,43.378834,48.766685
07/04/2010,29.8358,35.060001,134.869995,16.636606,7.63438,47.955093,20.390179,30.764767,NaN,280.717804,25.756542,16.529398,48.314251,35.241283,18.503611,21.874683,26.023436,23.14617,11.39,22.774351,48.775326,11.801788,45.679745,15.086713,28.11128,18.774118,17.94301,43.183529,48.364491
08/04/2010,29.755198,34.939999,140.960007,16.663406,7.692817,47.380127,20.343733,31.06963,NaN,282.685425,26.040884,16.426317,48.099422,35.583439,18.482985,21.979074,26.016363,23.595692,11.69,22.704023,48.76054,11.850187,45.723595,15.304332,27.846649,18.935551,17.895536,43.261662,48.737949
09/04/2010,29.983374,35.470001,140.059998,16.609804,7.722038,47.558838,20.591448,31.548695,NaN,282.052795,26.262035,16.603024,48.254982,35.754501,18.768341,22.150192,26.150751,23.926912,11.774285,22.967722,49.048801,11.926239,45.847851,15.551368,27.539324,19.148727,17.848066,43.019493,49.384365
12/04/2010,30.045366,35.02,141.199997,16.67234,7.776298,46.89064,20.537256,31.261257,NaN,285.295654,26.443705,16.595661,48.232765,35.878914,18.82679,22.209223,26.06587,23.911137,11.882857,23.073402,49.019226,11.953895,45.825916,15.516073,27.539324,19.287401,17.764999,42.980431,49.348454
13/04/2010,30.062731,34.75,140.160004,16.681276,7.792993,46.533218,20.467592,31.217703,NaN,292.289429,27.122955,16.765005,48.655025,35.668957,18.91618,22.117676,25.959768,24.013655,12.34,23.205505,49.070984,11.877843,46.045185,15.410204,27.453955,19.204615,17.842138,42.746071,49.312542
