Date,AAPL,ADBE,AMZN,BAC,CMCSA,COST,CSCO,DIS,FB,GOOG,HD,INTC,JNJ,JPM,KO,MA,MRK,MSFT,NFLX,ORCL,PEP,PFE,PG,T,UNH,V,VZ,WMT,XOM
01/05/2010,31.854618,32.080002,125.459999,14.063376,7.501963,45.258965,17.760103,29.10981,NaN,241.908264,26.743839,15.771031,43.187984,30.461258,17.671602,17.23712,23.830647,20.34655,15.878572,19.78261,46.484024,10.529659,44.992683,14.04559,24.816116,14.996938,16.155346,39.496372,43.423187
01/06/2010,31.191195,26.43,109.260002,12.839308,7.20338,42.748058,16.341442,27.437429,NaN,221.644226,22.170681,14.421573,44.150616,28.175516,17.231533,17.045752,24.736057,18.228165,15.521428,18.809698,45.050098,9.962924,44.175175,13.982006,24.244165,14.730543,16.44886,37.769035,41.266808
01/07/2010,31.900509,28.719999,117.889999,12.552589,8.07425,44.213795,17.691092,29.344988,NaN,241.51973,22.676434,15.274263,43.42548,30.999989,19.270439,17.943613,24.645592,20.446281,14.65,20.720467,48.346817,10.479938,45.044235,14.993522,26.103277,15.271873,18.189131,40.22044,43.154064
01/08/2010,30.145821,27.700001,124.830002,11.139979,7.12959,44.050072,15.329213,28.3433,NaN,224.169754,22.127617,13.101756,42.625599,28.021381,19.539688,17.074158,25.146233,18.592569,17.931429,19.183809,47.803104,11.115719,44.290646,15.897083,27.191977,14.362017,18.819233,39.395447,42.741909
01/09/2010,35.186657,26.15,157.059998,11.712176,7.538185,50.462383,16.793879,28.831081,NaN,261.9133,25.412298,14.344803,46.755329,29.331512,20.462824,19.28116,26.326302,19.504093,23.165714,23.584494,49.486423,12.129653,44.513332,16.820438,30.098061,15.564734,20.769354,42.29615,44.999504
01/10/2010,37.32328,28.15,165.229996,10.245199,8.601369,49.116497,17.530048,31.470297,NaN,305.704132,24.786615,14.97986,48.098534,29.000128,21.76926,20.663555,26.240782,21.240265,24.795713,25.806793,49.365959,12.306262,47.185471,16.773388,31.017849,16.382162,20.699255,42.809834,48.422348
01/11/2010,38.584427,27.799999,175.399994,9.797813,8.400159,53.074596,14.692729,31.801287,NaN,276.817413,24.23313,15.80917,46.445953,28.860056,22.426027,20.540718,24.91103,20.117329,29.414286,23.803864,48.859447,11.515043,45.678158,16.581249,31.422239,15.478795,20.700331,42.746613,50.658127
01/12/2010,39.999332,30.780001,180,11.936332,9.209155,56.685658,15.513251,32.672321,NaN,295.875977,28.341749,15.835046,47.073978,32.733776,23.674019,19.421095,26.045647,22.364389,25.1,27.543835,49.388649,12.49773,48.116524,17.529942,31.069481,14.870474,23.138327,42.620167,53.58604
01/01/2011,42.077667,33.049999,169.639999,12.296522,9.536109,56.395195,16.218748,34.227242,NaN,299.059052,29.724085,16.158823,45.490891,34.67836,22.622959,20.495655,24.227335,22.220154,30.582857,28.186239,48.981312,13.004491,47.218964,16.420155,35.436321,14.758492,23.034863,44.556042,59.126392
01/02/2011,43.80011,34.5,173.289993,12.798056,10.844704,58.710983,14.232622,38.515556,NaN,305.554718,30.289948,16.166359,46.761925,36.070141,23.008099,20.983299,23.789099,21.298653,29.524286,28.998333,48.303444,13.732521,47.508579,17.179688,36.757103,15.43462,24.188578,41.305927,62.680714
01/03/2011,43.217266,33.16,180.130005,11.938285,10.406877,57.715195,13.151373,37.943199,NaN,292.284454,29.958519,15.323672,45.502937,35.614349,23.879183,21.956755,24.110477,20.465359,33.968571,29.465483,49.057484,14.648658,46.415997,18.529608,39.018803,15.681221,25.24995,41.361538,61.97963
01/04/2011,43.418163,33.549999,195.809998,11.00581,11.034145,63.67403,13.482165,37.952,NaN,271.034088,30.236284,17.578934,50.471798,35.251266,24.637045,24.065033,26.56468,20.892557,33.238571,31.695446,52.871132,15.12468,48.902573,18.838337,42.619991,16.639736,24.752016,43.996094,64.81601
01/05/2011,43.132942,34.630001,196.690002,10.530805,10.673631,64.925652,12.928101,36.657589,NaN,263.522247,29.528196,17.092953,51.677513,33.586018,24.399656,25.182144,27.155821,20.159058,38.685715,30.215853,54.582596,15.470883,50.903606,19.37608,42.377575,17.265959,24.506409,44.188156,61.493423
01/06/2011,41.625027,31.450001,204.490005,9.822777,10.71592,64.136742,12.012361,34.376938,NaN,252.244522,29.479355,16.959318,51.529251,31.79954,24.574959,26.435766,26.076975,21.09441,37.527142,29.059132,54.05304,15.001656,48.297649,19.283981,44.654449,18.08217,24.705488,42.805054,60.293724
01/07/2011,48.421799,27.709999,222.520004,8.709893,10.157708,61.776218,12.289392,34.007111,NaN,300.717834,28.643126,17.089418,50.18911,31.418932,25.200167,26.603329,25.493082,22.230259,37.998573,27.00177,49.507393,14.018537,46.717358,17.964003,43.108112,18.356867,23.418125,42.458683,59.115723
01/08/2011,47.721169,25.24,215.229996,7.328507,9.137014,62.005161,12.104324,29.991772,NaN,269.469971,27.372099,15.405735,50.971512,29.353411,26.104271,29.062561,24.723734,21.581202,33.572857,24.829363,49.80888,13.82191,48.777573,17.726109,41.275391,18.85902,24.315514,42.845329,54.840767
01/09/2011,47.285904,24.17,216.229996,5.496421,8.886392,65.045242,11.97301,26.557594,NaN,256.55835,27.153612,16.491201,49.776558,23.539001,25.033426,27.956331,24.424959,20.321293,16.181429,25.422012,48.238064,13.018742,48.394585,17.751005,40.059357,18.524988,24.739031,42.108654,54.166279
01/10/2011,50.195084,29.41,213.509995,6.134079,9.961086,65.932259,14.313538,30.713825,NaN,295.21347,29.574062,18.964113,50.323631,27.165194,25.662727,30.607763,26.079145,21.741907,11.725715,28.986755,49.05632,14.182179,49.015026,18.242701,41.82769,20.154463,24.860033,46.019321,58.238262
01/11/2011,47.395027,27.42,192.289993,4.885708,9.682055,67.555824,14.455607,31.567965,NaN,298.575867,32.399296,19.250048,50.581543,24.41634,25.253305,33.176777,27.024036,20.88464,9.218572,27.786135,49.87458,14.778627,49.86253,18.31551,42.507545,20.956228,25.717489,47.788044,59.99086
01/12/2011,50.222366,28.27,173.100006,5.00333,10.126226,66.176399,14.021317,33.020885,NaN,321.744019,35.000996,18.906477,51.729324,26.213858,26.667152,33.02354,28.498074,21.354488,9.898571,22.73411,52.127602,16.095093,51.515083,19.11183,44.172268,22.145481,27.346556,48.48579,63.589283
01/01/2012,56.606174,30.950001,194.440002,6.41614,11.406052,65.342461,15.238879,34.828869,NaN,288.971863,36.957508,20.598314,51.989628,29.406826,25.737213,31.495577,29.276199,24.291142,17.171429,25.003084,51.593376,15.916595,48.681026,18.587271,45.292336,21.951355,25.669781,50.095016,62.824066
01/02/2012,67.265724,32.889999,179.690002,7.172039,12.620464,68.352646,15.468578,37.595486,NaN,307.970642,39.605068,20.956951,51.33493,31.158987,26.625221,37.359943,29.199696,26.109074,15.818571,25.98275,49.448547,15.715773,52.634846,19.616966,48.755508,25.382341,26.314392,48.233601,64.894669
01/03/2012,74.347702,34.310001,202.509995,8.622465,12.877937,72.322639,16.456764,39.198147,NaN,319.422729,41.886295,22.098909,52.488655,36.510963,28.206879,37.407978,29.375643,26.711521,16.434286,25.902805,52.555046,17.021286,52.315712,20.027384,51.54528,25.935928,26.397243,49.964386,65.423378
