Date,AAPL,ADBE,AMZN,BAC,CMCSA,COST,CSCO,DIS,FB,GOOG,HD,INTC,JNJ,JPM,KO,MA,MRK,MSFT,NFLX,ORCL,PEP,PFE,PG,T,UNH,V,VZ,WMT,XOM
12/04/2010,30.679043,34,142.169998,16.448969,7.597345,45.98933,20.689449,31.208992,NaN,274.047791,27.65214,17.611725,48.1661,35.055843,18.898994,22.168955,25.259489,24.187159,12.187143,22.701654,48.8862,11.61512,45.935535,14.987743,26.233208,19.424002,17.364645,42.269562,48.788246
19/04/2010,33.584499,36.25,143.630005,16.466843,7.862755,46.774075,21.065203,32.045181,NaN,271.477448,28.742121,17.700077,48.180901,34.58638,18.524244,22.828474,25.082663,24.415865,14.247143,23.209728,47.829239,11.691173,46.439842,15.172706,26.421017,19.991095,17.053513,42.597649,49.729095
26/04/2010,32.376675,33.599998,137.100006,15.930747,8.198663,45.90387,20.651106,32.088741,NaN,261.868439,27.825911,16.816547,47.632729,32.770103,18.376402,21.189941,24.785572,24.084637,14.128572,22.675064,48.206196,11.55981,45.43124,15.062882,25.874672,18.674774,16.965458,41.902409,48.673309
03/05/2010,29.248018,32.419998,124.980003,14.456508,7.613932,44.528622,18.948711,29.101103,NaN,245.649246,26.404202,15.69004,46.899345,31.369411,18.108232,19.058468,23.689178,22.247137,13.012857,20.518869,47.725761,11.380051,44.418221,14.507998,24.773439,17.031443,16.548658,40.933743,45.750187
10/05/2010,31.475155,33.720001,128.529999,14.599466,7.298761,45.016846,19.125088,29.667273,NaN,252.817383,27.802216,16.230757,47.388264,30.699837,18.338587,18.1495,23.257692,22.814947,14.365714,20.843178,48.834454,11.318328,46.060612,14.681392,25.942961,15.990385,16.736513,40.715012,45.678364
17/05/2010,30.049093,32.18,122.720001,14.28675,7.06238,44.782955,17.990162,28.630743,NaN,235.143631,26.08037,15.504115,45.099232,30.822973,17.736923,18.269104,22.663523,21.166714,14.21,19.423244,46.994019,10.759398,45.552425,14.363497,24.500263,15.448849,16.413637,40.361855,44.021778
24/05/2010,31.854618,32.080002,125.459999,14.063376,7.501963,45.414436,17.760103,29.10981,NaN,241.908264,26.743839,15.882266,43.187984,30.461258,17.671602,17.23712,23.830647,20.438364,15.878572,19.78261,46.484024,10.640627,44.992683,14.04559,24.816116,15.08657,16.155346,39.725433,43.718086
31/05/2010,31.740519,31.59,122.769997,13.714917,7.377553,43.792786,17.606735,29.344988,NaN,248.428833,25.393219,15.533774,43.365669,28.952818,17.626913,16.801418,23.462824,20.430439,15.682858,19.396946,45.412273,10.312256,44.779099,13.970448,25.900274,15.017865,15.97336,39.599728,43.045605
07/06/2010,31.436712,31.73,123.029999,13.947327,7.543435,44.845303,17.568394,29.824055,NaN,243.337906,25.627316,15.30392,43.702076,29.314537,17.757555,17.502804,24.658251,20.327456,17.241428,19.887789,47.341309,10.80132,44.933762,14.617821,26.29187,15.840274,16.765865,39.961159,44.7304
14/06/2010,33.986275,33.52,125.830002,14.144017,7.676141,45.38327,18.013165,30.61669,NaN,249.081375,25.404598,15.867432,44.240322,30.153418,18.291357,18.304131,25.510969,20.945354,18.059999,20.334812,47.728622,10.626656,45.147358,14.69874,26.857656,16.040154,17.100479,40.503296,45.627033
21/06/2010,33.072357,29.85,121,13.786392,7.327789,44.003292,17.008598,29.162071,NaN,235.457443,24.020636,14.851625,43.881474,30.353514,17.574526,18.656956,25.696922,19.432283,16.854286,19.861496,45.263241,10.228417,44.03524,14.328812,25.614637,15.961033,16.759993,38.342598,42.73468
28/06/2010,30.622002,26.73,109.139999,12.37378,7.240701,42.280277,16.203413,27.332911,NaN,217.4599,22.079899,14.236204,44.165573,27.575211,17.501095,17.322548,24.473942,18.434135,15.297143,19.133997,45.829304,9.879086,43.733276,14.039809,24.260187,15.236484,16.780813,37.71402,40.905247
05/07/2010,32.194393,27.200001,117.260002,13.509234,7.534016,43.808365,17.407362,29.397249,NaN,232.872131,22.477589,15.007329,45.256992,29.940327,18.322832,18.551233,25.961546,19.226316,16.790001,20.483812,47.296631,10.319242,45.478783,14.351932,25.691793,16.110943,16.680672,38.837597,42.503284
12/07/2010,30.989067,27.389999,118.489998,12.49895,7.729975,42.865009,17.445698,28.770107,NaN,228.946854,21.562891,15.585673,44.434681,30.055935,18.312338,16.976032,25.682627,19.717474,16.912857,20.396164,46.514549,10.172523,45.65554,14.520862,26.008972,14.876284,17.009327,39.02615,41.910347
19/07/2010,32.234066,29.23,118.870003,12.284375,8.055185,43.621269,17.905802,29.728243,NaN,244.11499,22.469635,16.082457,43.081619,30.695585,19.144554,18.329159,24.938816,20.446281,15.385715,21.520308,48.004208,10.186496,45.596619,15.020768,26.506186,15.738259,17.85693,40.597584,43.18298
26/07/2010,31.900509,28.719999,117.889999,12.552589,8.117723,44.213795,17.691092,29.344988,NaN,241.51973,22.676434,15.274263,43.42548,31.042383,19.270439,18.079538,24.645592,20.446281,14.65,20.764889,48.346817,10.479938,45.396622,15.256019,26.103277,15.271873,18.519709,40.22044,43.154064
02/08/2010,32.25267,29.23,128.320007,12.481066,7.771667,44.081257,18.457935,30.48604,NaN,249.176025,22.811651,15.311334,44.82341,31.165688,19.843901,17.854017,25.017494,20.240313,16.902857,21.414886,49.084221,11.346274,44.550446,15.608897,28.675024,15.019946,18.831985,40.691868,44.809948
09/08/2010,30.889847,28.01,124.690002,11.8284,7.450629,43.279186,16.379789,29.336281,NaN,242.266922,21.721973,14.307447,43.470329,28.899931,19.48723,18.13118,25.031796,19.329302,18.894285,19.904078,48.830967,11.359626,44.401985,15.714757,27.457727,15.0366,19.13789,39.599728,43.320377
16/08/2010,30.95681,27.92,127.760002,11.506541,7.425611,43.067917,17.046942,28.787529,NaN,230.147354,22.406008,14.128136,43.911392,28.622494,19.336872,17.763628,24.631289,19.194632,18.565714,20.220299,48.2649,11.246596,44.520748,15.555964,27.097681,14.692808,18.717272,39.688202,42.887524
23/08/2010,29.96229,27.98,126.639999,11.300907,7.192129,43.967762,15.958019,28.552349,NaN,228.558304,22.859375,13.72469,43.059174,28.206339,19.6376,17.785151,25.031796,19.058111,18.014286,19.772322,47.758411,11.366693,44.38715,15.844146,27.749193,14.904502,19.016792,40.30463,43.550247
30/08/2010,32.088993,29.49,138.789993,12.069799,7.592387,45.830086,16.134399,30.198597,NaN,234.271896,23.742254,13.769516,44.46888,30.186941,20.127136,17.816137,25.453764,19.344809,19.782858,20.132465,48.838402,11.628076,44.750854,16.138205,29.069366,15.195838,19.246225,41.12653,44.657223
06/09/2010,32.664379,32.200001,142.440002,12.124231,7.671602,46.589096,15.812322,29.745667,NaN,237.180984,23.807983,13.425835,45.261219,30.641642,20.462824,17.055227,26.211874,18.994387,20.879999,22.003407,49.836796,12.002489,44.8325,16.367582,29.566555,14.271518,19.641348,41.071213,44.569824
13/09/2010,34.147488,32.779999,148.320007,11.990017,7.354735,47.958435,16.763214,30.102791,NaN,244.159836,23.976435,14.053425,46.461056,30.872845,20.127136,18.391991,25.983011,20.085474,20.065714,24.137875,49.98587,12.051945,45.255596,16.567539,29.365856,14.355356,20.189411,41.893112,44.26395
20/09/2010,36.249378,26.879999,160.729996,12.168969,7.742484,50.118095,16.939583,29.249172,NaN,262.660492,25.380209,14.509174,46.891163,30.633928,20.810728,19.071995,26.985142,19.735052,23.172857,23.68111,49.993435,12.292134,45.752903,16.808674,30.7425,15.168593,20.801224,42.738712,44.97036
27/09/2010,35.03413,26.27,153.710007,11.900539,7.429781,50.900578,16.801552,29.040129,NaN,261.828613,25.524601,14.434459,46.596874,29.909515,20.988235,19.348301,26.450359,19.416481,22.094286,23.927065,50.651134,12.136717,44.65435,16.943939,30.484392,15.367707,20.960539,42.16972,45.545704
04/10/2010,36.466404,26.99,155.550003,11.793166,7.500662,50.305889,17.238655,30.059233,NaN,267.173553,25.580753,14.583879,47.713696,30.294838,21.091196,19.1598,26.674391,19.567801,21.377142,24.594625,49.706154,12.33452,45.916199,16.596947,29.555141,15.510238,20.922304,42.999508,46.8857
11/10/2010,39.029591,28.08,164.639999,10.719433,7.943265,49.844215,17.913473,30.381517,NaN,299.60202,24.626181,14.434459,47.970257,28.667135,21.27935,20.252148,26.703291,20.340324,22.245714,25.431852,50.409233,12.539389,46.584236,16.903452,30.957617,16.26479,20.971935,42.161804,47.475605
18/10/2010,38.128075,28.209999,169.130005,10.236253,8.157042,50.102448,18.005493,30.459904,NaN,305.121338,25.251863,14.822963,48.151367,29.091551,21.872215,21.026873,26.811699,20.212891,24.014286,25.511055,49.146729,12.362775,47.059284,16.87958,32.058937,16.619015,20.752069,42.722908,48.313103
25/10/2010,37.32328,28.15,165.229996,10.245199,8.647468,49.116497,17.530048,31.470297,NaN,305.704132,24.786615,14.97986,48.098534,29.037542,21.76926,20.803297,26.240782,21.240265,24.795713,25.854252,49.365959,12.306262,47.548054,17.016815,31.017849,16.382162,21.004278,42.809834,48.422348
01/11/2010,39.325974,29.139999,170.770004,11.05945,8.81933,51.339725,18.603634,32.402309,NaN,311.372894,25.604813,15.868942,48.785225,31.591726,22.216574,22.20977,25.799931,21.383619,24.014286,25.739851,49.199657,12.136717,48.617649,17.464314,31.714783,16.725904,21.618628,43.623829,50.978546
08/11/2010,38.197517,29.540001,165.679993,10.844702,8.563634,51.182713,15.451904,32.881367,NaN,300.518585,25.219784,16.21154,48.045719,30.565428,22.337278,21.072805,25.084473,20.921703,24.714285,24.921452,48.867001,12.026659,48.116524,16.981014,31.551308,16.126459,21.056004,42.778244,51.699543
15/11/2010,38.03632,28.860001,164.820007,10.433104,8.61813,52.250332,15.037807,32.236801,NaN,294.311859,25.043306,15.91788,48.166443,30.411091,22.834295,21.134335,25.532545,20.459785,24.719999,24.771854,48.91993,11.99097,47.907078,16.897486,30.974825,16.149509,21.075411,42.983704,51.69529
